Statistic,Brand,Harness Price,Price,Chalkbag Name
Lowest Cost,CAMP USA,Chalk Pouch,4.95,
Highest Cost,STATIC,Waxed Canvas Chalk Bucket,61.95,
Average Cost,,,25.965079365079372,
Brand Average Price,8BPLUS,,33.56666666666666,
Brand Average Price,Black Diamond,,22.84,
Brand Average Price,Blue Ice,,22.45,
Brand Average Price,CAMP USA,,10.155,
Brand Average Price,DMM,,25.28333333333333,
Brand Average Price,Edelrid,,22.232857142857142,
Brand Average Price,Evolv,,27.99,
Brand Average Price,Friction Labs,,38.5,
Brand Average Price,KAVU,,23.95,
Brand Average Price,Mad Rock,,18.95,
Brand Average Price,Mammut,,25.964285714285715,
Brand Average Price,Metolius,,21.616666666666664,
Brand Average Price,Ocun,,29.95,
Brand Average Price,STATIC,,38.95,
Brand Average Price,Trango,,19.383333333333333,
Brand Average Price,Wild Country,,27.45,
