Statistic,Brand,Shoe Name,Price
Lowest Cost,So Ill Holds,Street LV Climbing Shoe,31.39
Highest Cost,La Sportiva,TC Pro Climbing Shoe,219.0
Average Cost,,,136.80726666666666
Brand Average Price,Adidas TERREX,,109.95
Brand Average Price,Asolo,,92.0
Brand Average Price,Black Diamond,,103.8048275862069
Brand Average Price,Boreal,,78.725
Brand Average Price,Butora,,129.90826086956523
Brand Average Price,Evolv,,137.95615384615385
Brand Average Price,Five Ten,,136.95615384615385
Brand Average Price,La Sportiva,,155.84561403508772
Brand Average Price,Lowa,,91.845
Brand Average Price,Mad Rock,,97.8092857142857
Brand Average Price,Ocun,,124.84125
Brand Average Price,Outdoor Research,,93.95
Brand Average Price,Rab,,65.33333333333333
Brand Average Price,Red Chili,,139.7311111111111
Brand Average Price,Salewa,,149.4542857142857
Brand Average Price,Scarpa,,152.1942
Brand Average Price,So Ill Holds,,31.39
Brand Average Price,Tenaya,,164.59285714285713
Brand Average Price,The North Face,,141.012
Brand Average Price,UnParallel,,155.50555555555556
Brand Average Price,Vasque,,120.0
Brand Average Price,Zamberlan,,112.48
